                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8661,                  2.567,                 1.6911,                 0.5647,                0.51273,                0.53967,                 0.2409,                 1.8121,                 1.9219,                 1.6969,             0.00055437,             0.00055437,             0.00055437
                      2,                 1.8684,                 1.9469,                 1.6948,                0.62938,                0.56607,                0.62594,                0.29325,                 1.7053,                 1.7242,                 1.6104,               0.001099,               0.001099,               0.001099
                      3,                 1.8768,                 1.8059,                 1.7217,                0.67182,                0.61872,                0.65128,                0.27992,                 1.8635,                 1.4665,                 1.6994,              0.0016327,              0.0016327,              0.0016327
                      4,                 1.8602,                 1.6915,                 1.6988,                0.68353,                0.64097,                0.70844,                 0.3299,                  1.787,                 1.2851,                 1.6064,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.8197,                 1.5886,                 1.6747,                0.56522,                0.61961,                0.59365,                0.26839,                 1.7586,                 1.3955,                 1.6165,               0.001601,               0.001601,               0.001601
                      6,                 1.7881,                 1.5279,                 1.6584,                0.75789,                0.70636,                0.78361,                0.37537,                   1.69,                  1.198,                 1.5697,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.7551,                 1.4493,                 1.6386,                0.72787,                0.74698,                0.75049,                 0.3587,                 1.6613,                 1.1848,                 1.5674,               0.001568,               0.001568,               0.001568
                      8,                 1.7607,                 1.4022,                 1.6259,                0.70751,                0.76229,                0.77976,                0.37786,                 1.6436,                 1.0666,                 1.5102,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.7353,                 1.3503,                 1.6131,                0.71819,                0.78734,                0.78465,                0.38033,                 1.6164,                 1.0659,                 1.5322,               0.001535,               0.001535,               0.001535
                     10,                 1.7064,                 1.3207,                  1.596,                0.76411,                0.77501,                0.80737,                0.39816,                 1.6703,                 1.0816,                 1.5443,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.6991,                 1.2971,                 1.5949,                0.72864,                0.76683,                0.79006,                0.38869,                  1.641,                 1.0246,                 1.5364,               0.001502,               0.001502,               0.001502
                     12,                 1.6875,                 1.2348,                 1.5628,                0.77006,                0.77751,                0.82669,                0.41176,                  1.602,                 1.0161,                 1.5005,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.6714,                 1.2402,                 1.5573,                0.76245,                0.78783,                0.81325,                0.40376,                 1.6063,                 1.0258,                 1.5175,               0.001469,               0.001469,               0.001469
                     14,                 1.6618,                 1.2125,                 1.5496,                0.75785,                0.77545,                0.81346,                0.40406,                 1.6201,                0.98137,                 1.5185,              0.0014525,              0.0014525,              0.0014525
                     15,                  1.664,                  1.214,                 1.5469,                0.75792,                0.79273,                0.81945,                0.41456,                 1.5848,                0.93447,                 1.4846,               0.001436,               0.001436,               0.001436
                     16,                 1.6293,                 1.1634,                 1.5306,                 0.7719,                0.82027,                0.83852,                0.43806,                 1.5582,                 0.9181,                 1.4759,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.6396,                 1.1792,                 1.5368,                0.78216,                0.77347,                0.83091,                0.42889,                 1.5801,                0.96284,                 1.4618,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.6285,                 1.1514,                 1.5242,                0.79705,                0.80655,                0.84334,                 0.4303,                  1.548,                0.93127,                 1.4581,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.6091,                 1.1309,                 1.5141,                0.78247,                 0.8112,                0.84033,                0.43842,                 1.5708,                 0.9323,                 1.4715,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.6071,                 1.1361,                 1.5177,                0.78566,                0.76408,                0.80677,                0.40114,                 1.6392,                0.95189,                 1.5197,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5966,                 1.1094,                 1.4967,                0.79411,                0.81889,                0.85955,                0.43814,                 1.6086,                0.94591,                 1.4713,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.5878,                 1.1097,                 1.5016,                0.77895,                 0.8335,                0.86245,                0.44419,                 1.5754,                0.88727,                 1.4648,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.5783,                 1.0881,                 1.4883,                0.77686,                0.83456,                 0.8613,                0.44466,                 1.5889,                0.89669,                 1.4719,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.5684,                 1.0716,                 1.4766,                0.79684,                0.81863,                0.83749,                0.44019,                 1.5408,                0.90049,                 1.4487,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.5534,                 1.0523,                 1.4694,                 0.8052,                0.82521,                0.84966,                0.42772,                 1.5947,                0.88094,                 1.4905,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.5518,                 1.0697,                 1.4756,                0.80843,                0.82735,                0.86627,                 0.4547,                 1.5533,                0.85514,                 1.4539,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.5448,                 1.0286,                  1.466,                0.80895,                 0.8503,                0.87698,                0.46384,                 1.5429,                0.82932,                  1.451,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.5426,                 1.0105,                 1.4559,                0.81623,                0.82232,                0.86843,                0.45789,                 1.5443,                0.86972,                 1.4279,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.5358,                 1.0141,                 1.4497,                 0.7934,                  0.855,                0.87261,                0.45736,                 1.5287,                0.83009,                 1.4202,              0.0012049,              0.0012049,              0.0012049
                     30,                  1.536,                 1.0113,                 1.4482,                 0.8084,                0.81187,                0.86344,                0.45388,                 1.5694,                0.86382,                 1.4375,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.5123,                 1.0018,                 1.4421,                0.82149,                0.82952,                0.86848,                0.44715,                 1.5976,                0.87371,                 1.4556,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.5056,                0.97781,                 1.4236,                0.77905,                0.84144,                0.86733,                0.44672,                 1.5706,                0.84254,                  1.443,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.5124,                0.97474,                 1.4372,                0.82366,                0.82327,                0.87421,                0.46169,                 1.5331,                0.82211,                 1.4354,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.4875,                0.97468,                 1.4203,                0.86461,                 0.8141,                0.87675,                0.46144,                 1.5148,                0.80013,                 1.4195,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.4902,                0.96297,                 1.4201,                0.86735,                 0.8108,                0.88136,                0.48139,                 1.5119,                0.82298,                 1.4143,              0.0011059,              0.0011059,              0.0011059
