                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0791,                 4.1366,                 1.8599,                0.00796,                0.17143,                0.01171,                0.00353,                 2.9436,                 4.5218,                 2.2836,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.9679,                 3.0767,                 1.8976,                0.11738,                0.31429,                 0.1028,                0.02132,                 2.8834,                 3.5968,                 2.2553,             0.00017644,             0.00017644,             0.00017644
                      3,                 2.7863,                 2.2936,                 1.9009,                0.18191,                    0.4,                0.14604,                0.03383,                 2.6002,                 6.4442,                 2.0033,             0.00026891,             0.00026891,             0.00026891
                      4,                  2.742,                 2.9064,                 1.8106,                0.25486,                0.31429,                 0.1654,                0.04281,                 2.5506,                 6.6673,                 1.9248,             0.00035743,             0.00035743,             0.00035743
                      5,                 2.3903,                 2.1461,                 1.4323,                 0.3845,                0.31429,                0.23041,                0.06676,                 2.5642,                 6.4629,                 1.8828,             0.00044198,             0.00044198,             0.00044198
                      6,                 1.9594,                   2.57,                 1.1729,                0.28853,                0.28571,                0.22707,                0.05951,                  2.663,                 5.0527,                 1.9162,             0.00052258,             0.00052258,             0.00052258
                      7,                 2.3016,                 1.8892,                 1.4011,                0.50343,                0.25714,                0.29851,                0.07872,                  2.611,                 2.4637,                 1.9833,             0.00059922,             0.00059922,             0.00059922
                      8,                 2.2294,                 1.7523,                 1.4173,                0.36947,                0.22857,                0.18543,                0.04534,                 2.7854,                 2.6329,                 2.1373,             0.00067189,             0.00067189,             0.00067189
                      9,                 2.5892,                 2.2642,                 1.4734,                0.29214,                0.42857,                0.33498,                0.09664,                   2.52,                  2.555,                 1.8242,             0.00074061,             0.00074061,             0.00074061
                     10,                 2.1783,                 1.7077,                  1.359,                0.35494,                0.31429,                0.27464,                0.08493,                  2.549,                  2.727,                 1.8162,             0.00080536,             0.00080536,             0.00080536
                     11,                  1.731,                 2.3639,                 1.0907,                0.26797,                0.34286,                0.21709,                 0.0571,                 2.6583,                 2.6973,                 1.8936,             0.00086616,             0.00086616,             0.00086616
                     12,                 2.0382,                 1.6516,                  1.386,                0.30534,                0.37143,                0.20306,                 0.0448,                  2.902,                 2.4788,                 2.1012,               0.000923,               0.000923,               0.000923
                     13,                 2.0663,                 1.4502,                 1.2831,                0.34838,                0.45714,                0.24792,                0.05442,                 2.8812,                 2.8139,                 2.1387,             0.00097587,             0.00097587,             0.00097587
                     14,                 2.0664,                 1.4049,                  1.244,                0.22941,                    0.4,                0.18905,                0.04475,                 2.7424,                 4.2381,                 1.9775,              0.0010248,              0.0010248,              0.0010248
                     15,                 1.9373,                 1.3683,                 1.2642,                0.24351,                0.48571,                0.19117,                0.04607,                 2.6625,                 3.2462,                 1.9267,              0.0010697,              0.0010697,              0.0010697
                     16,                 2.1601,                 1.5318,                 1.4352,                0.40809,                0.34286,                0.25736,                0.06479,                 2.6504,                 2.5267,                 1.8702,              0.0011107,              0.0011107,              0.0011107
                     17,                 1.8778,                 1.3971,                 1.2488,                0.48132,                0.31429,                0.27983,                0.06122,                 2.7031,                 2.2351,                 1.9111,              0.0011478,              0.0011478,              0.0011478
                     18,                 2.0057,                 1.3624,                 1.2092,                 0.4555,                0.34286,                0.28285,                0.07508,                 2.6907,                 2.2255,                 1.8982,              0.0011809,              0.0011809,              0.0011809
