                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3084,                0.97356,                 1.1687,                 0.8113,                0.66667,                0.71815,                0.29966,                 2.0779,                 1.7433,                 1.6979,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3769,                0.96351,                 1.1415,                0.69883,                0.72517,                0.72665,                 0.2818,                 2.1173,                 1.7233,                 1.7338,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3955,                0.99374,                 1.1763,                0.77265,                0.66667,                0.71362,                0.30225,                 2.0289,                  1.633,                 1.7228,               0.001307,               0.001307,               0.001307
                     37,                 1.3514,                0.92112,                 1.1349,                0.62296,                0.70833,                0.67537,                0.28932,                  2.084,                 1.5937,                 1.7754,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3119,                0.92233,                 1.1396,                0.65107,                 0.8125,                0.75658,                0.31488,                 1.9904,                 1.5625,                 1.7126,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2589,                 0.8922,                 1.1203,                0.63102,                 0.6875,                0.67367,                0.25743,                 2.1298,                 1.6981,                 1.8052,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2605,                0.92146,                 1.1166,                0.69404,                0.66171,                0.66732,                 0.2658,                 2.1435,                 1.6005,                 1.8177,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.237,                0.89784,                 1.1026,                0.75675,                0.58332,                0.66024,                0.26297,                 2.1269,                 1.7109,                 1.7707,               0.001208,               0.001208,               0.001208
                     42,                 1.2515,                0.88455,                 1.1063,                0.78765,                0.61831,                0.69661,                0.27644,                 2.1591,                 1.8876,                 1.7786,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2449,                0.90634,                 1.1052,                0.71684,                  0.625,                0.67646,                0.29494,                 2.1118,                 1.7821,                 1.8422,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1845,                0.82819,                 1.0846,                 0.7724,                0.70705,                0.76488,                0.31069,                 2.1278,                 1.4723,                 1.9023,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2037,                0.83083,                 1.0688,                0.71873,                0.74537,                0.72622,                0.31159,                  2.083,                 1.4821,                 1.8527,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2254,                0.84195,                 1.0968,                0.80058,                  0.625,                0.70206,                0.28203,                 2.2754,                 1.5378,                 2.0238,               0.001109,               0.001109,               0.001109
                     47,                 1.1234,                0.76027,                 1.0725,                0.68173,                0.64583,                0.69029,                0.28736,                 2.1995,                 1.5192,                 1.9667,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.097,                0.76425,                 1.0826,                0.86617,                0.60417,                0.70958,                0.31167,                  2.121,                 1.4474,                 1.8698,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1674,                0.80377,                 1.0717,                0.78378,                0.66667,                0.72713,                0.32746,                 2.0883,                 1.3716,                 1.8695,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1646,                0.91097,                 1.1916,                0.71975,                0.74908,                0.74997,                0.32527,                 2.0635,                  1.284,                 1.9162,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0558,                0.76064,                 1.0283,                0.72325,                 0.7078,                0.73111,                0.32698,                 2.0005,                 1.3847,                 1.8688,                0.00101,                0.00101,                0.00101
                     52,                 1.1224,                0.77105,                 1.0527,                 0.7476,                0.64583,                0.70651,                0.30158,                 2.1384,                 1.6379,                 1.9286,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0503,                0.75305,                 1.0553,                0.70934,                  0.625,                0.69005,                0.30078,                 2.1023,                 1.5278,                 1.8501,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0976,                0.71945,                 1.0561,                0.72034,                0.72917,                0.73918,                0.31396,                 2.0574,                 1.3901,                 1.7769,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0296,                0.69021,                 1.0124,                0.70382,                   0.75,                0.75184,                0.31641,                 2.0711,                 1.4348,                 1.8365,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0283,                0.70074,                 1.0115,                0.78414,                0.68124,                0.69073,                0.29789,                 2.0836,                 1.7105,                 1.8132,               0.000911,               0.000911,               0.000911
                     57,                 1.0506,                0.71071,                 1.0297,                0.70315,                0.60417,                0.70209,                0.28398,                 2.1624,                 1.7771,                  1.869,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0568,                 0.7299,                 1.0521,                0.71726,                0.63434,                0.72183,                0.29923,                 2.1436,                 1.5959,                 1.9399,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0602,                0.68915,                 1.0231,                0.78518,                0.70833,                0.74857,                0.32458,                  2.107,                 1.4215,                 1.9342,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0414,                0.73409,                 1.0208,                0.76674,                 0.6875,                0.71392,                0.31026,                 2.0941,                 1.4084,                 1.9017,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.9782,                0.64833,                 1.0076,                0.73514,                 0.6875,                0.70767,                0.31478,                 2.1196,                 1.3669,                 1.8971,               0.000812,               0.000812,               0.000812
                     62,                 1.0165,                0.66938,                 1.0128,                0.69195,                   0.75,                0.69332,                0.31018,                 2.1326,                 1.3556,                 1.9451,              0.0007922,              0.0007922,              0.0007922
                     63,                0.98991,                0.64848,                0.99477,                0.71478,                 0.6875,                0.69054,                0.31201,                 2.0925,                 1.3416,                 1.8784,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0052,                0.78656,                 1.0265,                0.72321,                0.66667,                0.71972,                0.34524,                 2.0344,                 1.4247,                 1.8269,              0.0007526,              0.0007526,              0.0007526
                     65,                0.93779,                0.64564,                0.97036,                0.73548,                0.58333,                 0.6827,                0.31339,                 2.0543,                 1.5017,                 1.8723,              0.0007328,              0.0007328,              0.0007328
                     66,                0.99514,                 0.6652,                0.97107,                0.76077,                  0.625,                0.68076,                0.29506,                 2.0981,                 1.3675,                 1.9391,               0.000713,               0.000713,               0.000713
                     67,                 1.0139,                0.66876,                 1.0249,                0.72323,                0.70833,                0.71537,                0.31535,                 2.1008,                 1.3214,                 1.8915,              0.0006932,              0.0006932,              0.0006932
                     68,                0.93245,                0.64764,                0.97545,                  0.732,                0.64583,                0.69098,                0.29886,                 2.0852,                 1.4058,                 1.8695,              0.0006734,              0.0006734,              0.0006734
                     69,                0.99953,                0.67906,                0.98264,                0.68961,                0.66667,                0.67269,                0.27377,                 2.1562,                 1.5214,                 1.9212,              0.0006536,              0.0006536,              0.0006536
                     70,                0.97325,                0.63935,                0.99967,                0.74713,                0.60417,                 0.6664,                0.28029,                 2.1175,                 1.5064,                 1.9001,              0.0006338,              0.0006338,              0.0006338
                     71,                0.96699,                0.64466,                0.98388,                0.66644,                 0.6875,                0.69821,                0.29099,                 2.1282,                 1.5135,                 1.8981,               0.000614,               0.000614,               0.000614
                     72,                 0.9952,                0.64516,                0.99315,                0.63091,                  0.625,                 0.6819,                0.27754,                 2.2043,                 1.5869,                   1.99,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0223,                0.66559,                0.98702,                 0.7652,                0.58333,                0.67425,                0.28601,                 2.1223,                 1.5556,                 1.9365,              0.0005744,              0.0005744,              0.0005744
